"年月日","時刻","天","車番","仕入先コード","仕入先名","支払先コード","支払先名","商品コード","品　　名","運送店コード","運送店名","正味重量","調整重量","数量","単位","単　価","金　額","税抜額","かご引","ﾀﾞｽﾄ引","水引","不明差異","返品引","予備","引物金額","取引区分（コード）","取引区分","払区（コード）","払区","デ区（コード）","デ区","データ識別（コード）","データ識別","締日更新フラグ","月次更新フラグ","支払明細書発行フラグ","オンライン送信済フラグ","伝票No.","支払伝票No.","ルート伝票No.","手入力フラグ","継続伝票区分","継続伝票発行区分","ユーザID","ユーザ名","担当","担当名","ﾔｰﾄﾞｺｰﾄﾞ","ヤード名","計量重量","運転者名","自社他社区分","商品分類コード","かご数量","支払運賃単価","支払運賃金額","備考","仮払い金額","売上伝票No.","支払運賃伝票No.","集計区分1（仕入）","グループ名称1（仕入）","集計区分2（仕入）","グループ名称2（仕入）","集計区分3（仕入）","グループ名称3（仕入）","集計区分4（仕入）","グループ名称4（仕入）","集計区分5（仕入）","グループ名称5（仕入）","集計区分6（仕入）","グループ名称6（仕入）","集計区分7（仕入）","グループ名称7（仕入）","集計区分8（仕入）","グループ名称8（仕入）","集計区分9（仕入）","グループ名称9（仕入）","集計区分10（仕入）","グループ名称10（仕入）","得意先コード","得意先名","請求先コード","請求先名","運送店コード(売上)","運送店名(売上)","運転者名","出荷日付","売上日付","伝票番号(売上)","明細行番号","車番(売上)","取引区分(売上)","取引区分名称(売上)","入金区分","入金区分名称","データ区分","データ区分名称(売上)","商品コード(売上)","商品名(売上)","商品分類コード","本数","正味重量(売上)","かご引","ﾀﾞｽﾄ引","水引","不明差異","返品引","出荷時正味重量","単価(売上)","単価種別","売上運賃単価","売上金額","売上税抜額","支払運賃単価","支払運賃金額","備考","消費税課税対象区分","消費税額","消費税課税対象額","データ識別","データ識別名称","集計区分1（売上）","グループ名称1（売上）","集計区分2（売上）","グループ名称2（売上）","集計区分3（売上）","グループ名称3（売上）","集計区分4（売上）","グループ名称4（売上）","集計区分5（売上）","グループ名称5（売上）","集計区分6（売上）","グループ名称6（売上）","集計区分7（売上）","グループ名称7（売上）","集計区分8（売上）","グループ名称8（売上）","集計区分9（売上）","グループ名称9（売上）","集計区分10（売上）","グループ名称10（売上）"
"2026/06/01","10:27","晴","2622","0083050","㈱神奈中商事","0083050","㈱神奈中商事","1000","段ボールバラ","0000000","","270","0","0","kg","15.00","4050","4050","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083045","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","270","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","00004","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","10:37","晴","5039","0215000","上田商店","0215000","上田商店","1000","段ボールバラ","0000000","","430","0","0","kg","13.00","5590","5590","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083046","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","430","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","10:58","晴","2154","2000050","㈲北湘ｳﾞｨｰｸﾙ","2000050","㈲北湘ｳﾞｨｰｸﾙ","1805","上台紙","0000000","","1,110","0","0","kg","11.00","12210","12210","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083047","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","1,110","","他社","1800","0","0.00","0","","0","000000000","000000000","","","","","","","","","00004","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:30","晴","1010","0455002","湘南リンテック加工","0455000","カナキン㈱","1302","上白","1700020","㈱Ｕ－ＮＥＴ","120","0","0","kg","25.00","3000","3000","60","0","0","0","0","0","1500.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083048","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","180","","他社","1300","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:30","晴","1010","0455002","湘南リンテック加工","0455000","カナキン㈱","1000","段ボールバラ","1700020","㈱Ｕ－ＮＥＴ","270","0","0","kg","5.00","1350","1350","130","0","0","0","0","0","650.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083048","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","400","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:30","晴","1010","0455002","湘南リンテック加工","0455000","カナキン㈱","1998","ミックス紙","1700020","㈱Ｕ－ＮＥＴ","820","0","0","kg","1.00","820","820","300","0","0","0","0","0","300.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083048","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","1,120","","他社","1900","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:50","晴","0110","1149000","㈲タチオカ商会","1149000","㈲タチオカ商会","1000","段ボールバラ","0000000","","1,330","0","0","kg","14.50","19285","19285","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083049","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","1,330","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:54","晴","7398","0036000","㈲青木商店","0036000","㈲青木商店","1000","段ボールバラ","0000000","","390","0","0","kg","14.00","5460","5460","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083050","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","390","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:56","","6902","1204000","ＴＳ環境リサイクル㈱","1204000","ＴＳ環境リサイクル㈱","1200","雑誌バラ","0000000","","170","0","0","kg","4.00","680","680","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083051","000000001","270009091","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","170","","自社","1200","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:56","","6902","1535003","パルシステム相模センター","1535000","㈱パルシステム電力","1998","ミックス紙","0000000","","60","0","0","kg","0.00","0","0","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083052","000000002","270009091","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","60","","自社","1900","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:56","","6902","1535002","パルシステム相模青果センター","1535000","㈱パルシステム電力","1998","ミックス紙","0000000","","50","0","0","kg","0.00","0","0","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083053","000000003","270009091","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","50","","自社","1900","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:58","晴","6902","1161003","ＥＳＰＯＴ（ﾎﾟｲﾝﾄ）(田丸)","1161000","㈱田丸","4114","ペットボトル","0000000","","30","0","0","kg","0.00","0","0","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083054","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","30","","他社","4100","1","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","11:58","晴","6902","1161003","ＥＳＰＯＴ（ﾎﾟｲﾝﾄ）(田丸)","1161000","㈱田丸","1970","雑古紙","0000000","","200","0","0","kg","5.50","1100","1100","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083054","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","200","","他社","1900","1","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","12:16","晴","0110","1149000","㈲タチオカ商会","1149000","㈲タチオカ商会","1000","段ボールバラ","0000000","","1,310","0","0","kg","14.50","18995","18995","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083055","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","1,310","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","12:42","晴","0110","1149000","㈲タチオカ商会","1149000","㈲タチオカ商会","1200","雑誌バラ","0000000","","800","0","0","kg","11.00","8800","8800","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083056","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","800","","他社","1200","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","12:48","晴","7668","8800320","(横持)浜松事業所","8800320","(横持)浜松事業所","1954","紙管","1700020","㈱Ｕ－ＮＥＴ","200","0","2","kg","0.00","0","0","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083057","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","200","","他社","1900","0","0.00","0","紙管2本、ﾜﾝﾌﾟﾌﾟﾚｽ9本、紙管ﾌﾟﾚｽ5本","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","12:48","晴","7668","8800320","(横持)浜松事業所","8800320","(横持)浜松事業所","3701","ワンププレス","1700020","㈱Ｕ－ＮＥＴ","7,450","0","9","kg","0.00","0","0","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083057","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","7,450","","他社","3700","0","0.00","0","紙管2本、ﾜﾝﾌﾟﾌﾟﾚｽ9本、紙管ﾌﾟﾚｽ5本","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","12:48","晴","7668","8800320","(横持)浜松事業所","8800320","(横持)浜松事業所","3919","紙管プレス","1700020","㈱Ｕ－ＮＥＴ","4,240","0","5","kg","0.00","0","0","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083057","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","4,240","","他社","3900","0","0.00","0","紙管2本、ﾜﾝﾌﾟﾌﾟﾚｽ9本、紙管ﾌﾟﾚｽ5本","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","12:52","晴","0110","1149000","㈲タチオカ商会","1149000","㈲タチオカ商会","1982","牛乳パック","0000000","","60","0","0","kg","13.00","780","780","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083058","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","60","","他社","1900","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","12:52","晴","0110","1149000","㈲タチオカ商会","1149000","㈲タチオカ商会","1100","新聞バラ","0000000","","480","0","0","kg","23.00","11040","11040","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083058","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","480","","他社","1100","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","13:03","","5122","1124000","高山 藤沢センター","1124000","高山 藤沢センター","1000","段ボールバラ","0000000","","390","0","0","kg","8.00","3120","3120","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083059","000000001","270009092","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","390","","自社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","00004","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","13:03","","5122","1075001","㈱一全(ダイコー商事)","1075000","㈲ダイコー商事","1000","段ボールバラ","0000000","","140","0","0","kg","5.00","700","700","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083060","000000002","270009092","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","140","","自社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","13:03","","5122","1801607","㈱不二家平塚工場（丸紅FR）","1801600","丸紅ﾌｫﾚｽﾄﾘﾝｸｽ㈱","1971","雑がみ","0000000","","90","0","0","kg","3.00","270","270","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083061","000000003","270009092","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","90","","自社","1900","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","13:03","","5122","1801607","㈱不二家平塚工場（丸紅FR）","1801600","丸紅ﾌｫﾚｽﾄﾘﾝｸｽ㈱","1000","段ボールバラ","0000000","","400","0","0","kg","6.50","2600","2600","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083061","000000003","270009092","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","400","","自社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","13:03","","5122","0384098","ｳｴﾙｼｱ平塚中原店（大本）","0384000","大本紙料㈱","1000","段ボールバラ","0000000","","100","0","0","kg","4.50","450","450","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083062","000000004","270009092","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","100","","自社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","13:03","","5122","0557006","㈱ｽﾄﾘｯｸｽｺﾝｻﾙﾃｨﾝｸﾞ(共栄商社)","0557000","㈱共栄商社","1000","段ボールバラ","0000000","","130","0","0","kg","7.00","910","910","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083063","000000005","270009092","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","130","","自社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","13:03","","5122","1161003","ＥＳＰＯＴ（ﾎﾟｲﾝﾄ）(田丸)","1161000","㈱田丸","1970","雑古紙","0000000","","100","0","0","kg","5.50","550","550","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","4","ルート回収","未更新","未更新","未発行","未送信","270083064","000000006","270009092","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","100","","自社","1900","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
